accession,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,desc_lower,desc_lower_2
XP_027247995.1,prolow-density lipoprotein receptor-related protein 1 isoform X1 [Cricetulus griseus],True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,4.684597538396394,504619.1714000021,7.284330985915492,331.0,-143.32020867399302,-627.8298384215443,484.5096297475513,-0.065893886062786,-0.288655369836017,0.222761483773231,prolow-density lipoprotein receptor-related protein 1 isoform x1,prolow density lipoprotein receptor related protein 1 isoform x1
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.7115209221398295,70804.06140000028,0.6191950464396285,4.0,-13.58225751602908,-96.96019893399972,83.37794141797065,-0.023126684012715622,-0.16509537386626127,0.14196868985354563,heat shock cognate 71 kda protein,heat shock cognate 71 kda protein
XP_027281136.1,fatty acid synthase isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.384175464842418,271855.51970000047,1.9176987614862164,48.0,-23.288098014998578,-263.88976772189363,240.601669706895,-0.016171691069696164,-0.18324999307817466,0.16707830200847845,fatty acid synthase isoform x2,fatty acid synthase isoform x2
NP_001230968.1,elongation factor 2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.8819238070241076,95323.01470000051,1.9813519813519813,17.0,-0.9591867013474683,-114.9530410868289,113.99385438548143,-0.0013395270532790325,-0.1605346573051817,0.15919513025190266,elongation factor 2,elongation factor 2
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.2892524773508205,47152.30890000006,1.3824884792626728,6.0,-2.594502894470937,-57.97692286128206,55.38241996681112,-0.005792940084438239,-0.12944939900866498,0.12365645892422673,alpha-enolase isoform x2,alpha enolase isoform x2
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.288335865063492,56795.732700000015,1.5841584158415842,8.0,-3.807902009363655,-77.9726042232167,74.16470221385305,-0.007510268765295239,-0.1537842130932912,0.14627394432799598,protein disulfide-isomerase a3 precursor,protein disulfide isomerase a3 precursor
XP_027265953.1,nucleobindin-2 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,4.570421002519581,50287.854400000106,0.4761904761904762,2.0,-28.158762655394554,-97.9449142794025,69.78615162400794,-0.060230760846648364,-0.20950127604339178,0.14927051519674342,nucleobindin-2 isoform x2,nucleobindin 2 isoform x2
XP_027252960.1,fibronectin isoform X4 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,5.583735028862936,263084.6152999994,2.678945165341147,64.0,-35.31018829157028,-254.94127606127734,219.63108776970705,-0.02506204958741044,-0.18094921640649475,0.1558871668190843,fibronectin isoform x4,fibronectin isoform x4
XP_027287652.1,moesin [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,False,6.48825429600758,67773.17620000023,0.34662045060658575,2.0,-2.7734343758264446,-109.93410198859081,107.16066761276437,-0.004862125756703482,-0.19272618579969727,0.1878640600429938,moesin,moesin
XP_027264066.1,ras GTPase-activating-like protein IQGAP1 isoform X1 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False,False,6.489752180041894,188957.2340000002,0.8449004224502112,14.0,-9.490368448138518,-232.91827811074495,223.42790966260645,-0.008398871003631717,-0.20613009736454135,0.19773122636090967,ras gtpase-activating-like protein iqgap1 isoform x1,ras gtpase activating like protein iqgap1 isoform x1
XP_027282549.1,pigment epithelium-derived factor isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.910039678754701,46467.746600000035,0.23923444976076555,1.0,-0.33211063419287346,-48.979208277648596,48.647097643455716,-0.0007487932024994367,-0.11043096620871287,0.1096821730062134,pigment epithelium-derived factor isoform x2,pigment epithelium derived factor isoform x2
XP_027248932.1,lamin isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,7.044382027187117,74052.50190000047,0.7541478129713424,5.0,0.27522038916043623,-107.9389384604641,108.21415884962452,0.00045481449806928915,-0.17837411780349674,0.17882893230156602,lamin isoform x2,lamin isoform x2
XP_027262078.1,lysosomal alpha-mannosidase [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,8.50195542405053,113975.3934000006,1.1892963330029733,12.0,9.160331241384952,-97.98100725150377,107.1413384928887,0.01135578856775449,-0.12146412315058099,0.13281991171833543,lysosomal alpha-mannosidase,lysosomal alpha mannosidase
XP_027243319.1,vinculin isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,5.623400797511814,116686.03680000071,0.9380863039399625,10.0,-9.232978590659,-153.91434143215747,144.6813628414985,-0.011267894059975966,-0.18783651197058993,0.176568617910614,vinculin isoform x2,vinculin isoform x2
XP_027261047.1,vimentin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,4.53597431334015,53742.131400000115,0.2145922746781116,1.0,-17.57082553612538,-84.95658313489923,67.38575759877385,-0.03595525957999229,-0.17384703942135257,0.13789177984136025,vimentin,vimentin
XP_027281297.1,lysosomal alpha-glucosidase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.9064938347912985,105846.24380000072,1.36986301369863,13.0,-14.617844220489635,-92.97947020159553,78.36162598110589,-0.019037644605264165,-0.12109241845679172,0.10205477385152753,lysosomal alpha-glucosidase,lysosomal alpha glucosidase
XP_027260913.1,rab GDP dissociation inhibitor beta [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.0779171824415785,50566.57240000002,2.0224719101123596,9.0,-2.867911571148482,-62.98814359737411,60.12023202622563,-0.006111815911960857,-0.13423424284631652,0.12812242693435566,rab gdp dissociation inhibitor beta,rab gdp dissociation inhibitor beta
NP_001231504.1,"actin, cytoplasmic 1 [Cricetulus griseus]",True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,4.7934520891103105,41737.27270000006,1.6,6.0,-10.812365883659607,-50.98481730288996,40.17245141923035,-0.026186947355771026,-0.1234823849858923,0.09729543763012125,"actin, cytoplasmic 1",actin cytoplasmic 1
XP_027248343.1,endoplasmin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.206890541875872,92492.67600000053,0.6234413965087282,5.0,-53.49204688336743,-171.91153178118046,118.41948489781304,-0.0762192211093426,-0.24495161085618772,0.16873238974684518,endoplasmin,endoplasmin
XP_027270346.1,dystroglycan [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,9.481476413569244,97194.97960000056,0.8938547486033519,8.0,13.344073600047865,-90.96280325239421,104.30687685244207,0.018395265465719377,-0.12539536002917365,0.14379062549489302,dystroglycan,dystroglycan
XP_027253466.1,vigilin [Cricetulus griseus],False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.909836658089188,141719.16600000038,0.7886435331230284,10.0,-1.4549424132948907,-195.88882246639733,194.43388005310243,-0.0015598168177937035,-0.2100087789790495,0.20844896216125575,vigilin,vigilin
XP_027288075.1,ubiquitin-like modifier-activating enzyme 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,5.142723140384453,117696.38720000061,1.9848771266540641,21.0,-20.388956207266126,-129.95693310679005,109.56797689952393,-0.024740003570475004,-0.15769002377493807,0.1329500202044631,ubiquitin-like modifier-activating enzyme 1,ubiquitin like modifier activating enzyme 1
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,9.134350313739569,35747.51060000005,1.2012012012012012,4.0,4.130416251623557,-34.992495508761195,39.122911760384746,0.011092007076445067,-0.09397043400966792,0.10506244108611298,glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase
NP_001233670.1,hypoxia up-regulated protein 1 precursor [Cricetulus griseus],True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,4.579732492092657,111269.8142000009,0.40040040040040037,4.0,-32.480467742742064,-170.89876474805143,138.41829700530937,-0.04091515672673561,-0.2152786037274516,0.174363447000716,hypoxia up-regulated protein 1 precursor,hypoxia up regulated protein 1 precursor
XP_027267107.1,peptidyl-prolyl cis-trans isomerase B [Cricetulus griseus],True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,10.169491438457692,23634.146,0.4629629629629629,1.0,10.869761649183047,-24.991536117068033,35.86129776625108,0.038462744018613514,-0.08843276304728977,0.12689550706590327,peptidyl-prolyl cis-trans isomerase b,peptidyl prolyl cis trans isomerase b
XP_027279241.1,phospholipid transfer protein isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,6.665240540746193,54373.6167000001,0.8113590263691683,4.0,-1.3339968549067787,-46.98285331344386,45.64885645853708,-0.0027085873404973674,-0.09539539860019514,0.09268681125969777,phospholipid transfer protein isoform x1,phospholipid transfer protein isoform x1
XP_027277357.1,"glycogen phosphorylase, brain form isoform X2 [Cricetulus griseus]",True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.557972994617697,96646.72310000061,1.4234875444839856,12.0,-4.921982357234816,-118.96563337508776,114.04365101785294,-0.006810758533929153,-0.16461786003005188,0.15780710149612273,"glycogen phosphorylase, brain form isoform x2",glycogen phosphorylase brain form isoform x2
XP_027260430.1,fructose-bisphosphate aldolase A isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,9.071925722194667,39381.49810000004,2.197802197802198,8.0,4.921310030380959,-38.98748160640843,43.90879163678939,0.01238985117157911,-0.09815457503714425,0.11054442620872336,fructose-bisphosphate aldolase a isoform x2,fructose bisphosphate aldolase a isoform x2
XP_027252619.1,collagen alpha-1(III) chain isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,6.562470477857223,139095.66190000082,1.5006821282401093,22.0,-4.41806437479881,-129.93633161717713,125.51826724237831,-0.004795896869620227,-0.1410484758002498,0.13625257893062956,collagen alpha-1(iii) chain isoform x3,collagen alpha 1(iii) chain isoform x3
XP_027270812.1,chondroitin sulfate proteoglycan 4 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,5.337352853939736,252066.2392000002,0.5165733964700818,12.0,-60.39161840897032,-252.89089901213075,192.49928060316043,-0.04410424580486869,-0.18468725736597474,0.14058301156110606,chondroitin sulfate proteoglycan 4,chondroitin sulfate proteoglycan 4
XP_027272396.1,cytoplasmic dynein 1 heavy chain 1 isoform X2 [Cricetulus griseus],False,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,True,False,6.395409515115728,532604.7447000023,1.053763440860215,49.0,-31.149144793837173,-639.7227739050758,608.5736291112386,-0.013815171897148287,-0.28372785662377853,0.26991268472663027,cytoplasmic dynein 1 heavy chain 1 isoform x2,cytoplasmic dynein 1 heavy chain 1 isoform x2
XP_027262348.1,annexin A1 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,7.053899845066322,38861.05930000003,1.4450867052023122,5.0,0.14125402268968468,-53.98051984469141,54.12177386738109,0.00035878800980742676,-0.13711158744126503,0.13747037545107246,annexin a1,annexin a1
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,8.864993695030368,44562.029100000036,1.6786570743405276,7.0,3.143021759505154,-50.97628237161685,54.119304131122,0.007287036339826358,-0.11818754387806285,0.1254745802178892,phosphoglycerate kinase 1,phosphoglycerate kinase 1
XP_027245386.1,transketolase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,8.268214782845508,67715.8548000003,2.086677367576244,13.0,5.02142366492731,-70.97775018927234,75.99917385419965,0.008808057501191575,-0.12450176417873955,0.1333098216799311,transketolase,transketolase
XP_027268410.1,coiled-coil domain-containing protein 80 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,10.171405845899834,107347.33800000069,0.7383966244725738,7.0,50.907692387436725,-108.96184014550778,159.8695325329445,0.06568044369062843,-0.14058115130495366,0.20626159499558208,coiled-coil domain-containing protein 80,coiled coil domain containing protein 80
XP_027247130.1,staphylococcal nuclease domain-containing protein 1 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,8.730040445766068,103435.56570000057,1.3029315960912053,12.0,8.097318423200349,-124.94515470204895,133.0424731252493,0.010708816453500403,-0.16524170824563225,0.17595052469913264,staphylococcal nuclease domain-containing protein 1 isoform x2,staphylococcal nuclease domain containing protein 1 isoform x2
XP_027273140.1,sulfhydryl oxidase 1 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,9.224854211805177,64651.45930000021,2.1015761821366024,12.0,8.810474400220647,-56.979421827775944,65.78989622799659,0.015938982425466156,-0.10308116928452783,0.11902015170999398,sulfhydryl oxidase 1 isoform x2,sulfhydryl oxidase 1 isoform x2
XP_027260201.1,serine protease HTRA1 isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,False,False,9.184247173025677,50200.21100000005,3.411513859275053,16.0,4.408823544261046,-55.97502826480553,60.38385180906658,0.009441316176300896,-0.11986824478682677,0.12930956096312768,serine protease htra1 isoform x3,serine protease htra1 isoform x3
XP_027247220.1,aldose reductase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,7.620886452371347,35790.93830000004,2.2151898734177213,7.0,1.656444958368902,-37.99024873693501,39.64669369530391,0.004444693379750413,-0.10193819372205261,0.10638288710180303,aldose reductase,aldose reductase
XP_027246969.1,protocadherin Fat 1 isoform X3 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.279651804607389,504028.4472000043,1.2269938650306749,56.0,-222.8246734817489,-644.8017562903967,421.97708280864765,-0.10252743661495693,-0.29669008446989364,0.19416264785493664,protocadherin fat 1 isoform x3,protocadherin fat 1 isoform x3
XP_027282527.1,14-3-3 protein epsilon isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,4.064849491527881,29173.57520000003,1.1764705882352942,3.0,-18.379047864123073,-51.98045045172184,33.60140258759876,-0.05651669517249924,-0.15984306123081826,0.10332636605831898,14-3-3 protein epsilon isoform x2,14 3 3 protein epsilon isoform x2
XP_027255561.1,basement membrane-specific heparan sulfate proteoglycan core protein isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,6.635424336530111,469255.6639000086,4.286365709074327,188.0,-33.016723530139664,-406.85819241507147,373.84146888493177,-0.01593337620773986,-0.19634366920244567,0.18041029299470576,basement membrane-specific heparan sulfate proteoglycan core protein isoform x2,basement membrane specific heparan sulfate proteoglycan core protein isoform x2
XP_027274543.1,bifunctional glutamate/proline--tRNA ligase isoform X2 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,True,True,False,7.298122631319826,169778.9322000001,2.1178027796161483,32.0,3.4720220754882067,-212.90566700679494,216.37768908228315,0.003299945738835815,-0.20235388293557421,0.20565382867441004,bifunctional glutamate/proline--trna ligase isoform x2,bifunctional glutamate/proline  trna ligase isoform x2
XP_027272044.1,procollagen C-endopeptidase enhancer 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,9.051806194062667,50445.91030000001,2.564102564102564,12.0,3.610932056938596,-44.98859171677879,48.59952377371739,0.007707535390210962,-0.09602816041540402,0.10373569580561495,procollagen c-endopeptidase enhancer 1,procollagen c endopeptidase enhancer 1
XP_027267055.1,annexin A2 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,8.134732215616737,38660.704600000005,1.4749262536873156,5.0,1.8691781075037852,-52.99020084526592,54.859378952769696,0.004764138319470947,-0.13506077638611647,0.1398249147055874,annexin a2 isoform x2,annexin a2 isoform x2
XP_027286887.1,suprabasin isoform X1 [Cricetulus griseus],True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,7.609648897632362,61064.2737000001,0.34071550255536626,2.0,8.372285286768797,-58.96024262832506,67.33252791509386,0.015733767955099894,-0.1108020981507284,0.1265358661058283,suprabasin isoform x1,suprabasin isoform x1
XP_027259523.1,cytosolic non-specific dipeptidase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,5.727177920552977,52841.82940000003,1.8947368421052633,9.0,-8.762930917771289,-66.97808370964768,58.21515279187638,-0.018134726541200102,-0.1386099289981612,0.12047520245696108,cytosolic non-specific dipeptidase,cytosolic non specific dipeptidase
XP_027251267.1,glutathione S-transferase Mu 7 isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,6.788612819605017,25824.473900000008,1.3761467889908259,3.0,-0.39074506390645014,-32.99265159865704,32.60190653475058,-0.0013033249170345358,-0.11004654666057118,0.10874322174353661,glutathione s-transferase mu 7 isoform x1,glutathione s transferase mu 7 isoform x1
XP_027253553.1,alpha-mannosidase 2 [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,7.967065335671555,130765.87730000078,0.959023539668701,11.0,8.468269367265178,-127.97606962507365,136.44433899233883,0.009578817428751552,-0.14475914180605098,0.15433795923480254,alpha-mannosidase 2,alpha mannosidase 2
XP_027260651.1,polypeptide N-acetylgalactosaminyltransferase 2 isoform X2 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,9.601619225129657,64645.887600000184,2.280701754385965,13.0,11.973726839814935,-70.9807668288573,82.95449366867223,0.021662850236037014,-0.1284183063488331,0.1500811565848701,polypeptide n-acetylgalactosaminyltransferase 2 isoform x2,polypeptide n acetylgalactosaminyltransferase 2 isoform x2
XP_027243210.1,heat shock protein HSP 90-beta isoform X11 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.441274090406351,83266.2108000003,0.8287292817679558,6.0,-36.71995322764011,-147.9254380006578,111.2054847730177,-0.056118118845666864,-0.22607047614019365,0.16995235729452676,heat shock protein hsp 90-beta isoform x11,heat shock protein hsp 90 beta isoform x11
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,8.67637998866931,52944.50670000003,2.109704641350211,10.0,5.75402296027107,-54.985385713976285,60.73940867424735,0.011892445575853672,-0.11364409067981536,0.12553653625566902,lipoprotein lipase isoform x2,lipoprotein lipase isoform x2
XP_027253977.1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform X3 [Cricetulus griseus]",True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,False,6.618921242228364,83787.40980000034,1.3755158184319118,10.0,-5.357799398602088,-95.977244770353,90.6194453717509,-0.008154189351162265,-0.1460705355009186,0.1379163461497563,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform x3",procollagen lysine2 oxoglutarate 5 dioxygenase 1 isoform x3
XP_027248432.1,leukotriene A-4 hydrolase isoform X1 [Cricetulus griseus],True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,6.270113842452408,69104.15460000017,1.800327332242226,11.0,-7.449829718170479,-74.97435734814478,67.52452762997429,-0.012892102808408336,-0.12974486122402248,0.11685275841561413,leukotriene a-4 hydrolase isoform x1,leukotriene a 4 hydrolase isoform x1
XP_027253249.1,nucleolin isoform X3 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4.12895928485827,77260.56450000053,0.13986013986013987,1.0,-54.83008503728601,-171.88933057092598,117.05924553363998,-0.08808335627057844,-0.2761365249295906,0.1880531686590122,nucleolin isoform x3,nucleolin isoform x3
XP_027277436.1,ribosome-binding protein 1 isoform X6 [Cricetulus griseus],False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,9.773059904474739,161468.66760000054,0.4685408299866131,7.0,36.64661040257003,-222.83252988844404,259.47914029101406,0.036015420487626536,-0.21899453112015774,0.2550099516077842,ribosome-binding protein 1 isoform x6,ribosome binding protein 1 isoform x6
XP_027270702.1,neogenin isoform X3 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,6.8484657249615255,160572.53710000025,1.08991825613079,16.0,-3.155654218101211,-150.9581567866058,147.8025025685046,-0.0031128300891652945,-0.14890956365080663,0.14579673356164133,neogenin isoform x3,neogenin isoform x3
XP_027280121.1,nucleoside diphosphate kinase A isoform X1 [Cricetulus griseus],True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.269397206581119,17194.576299999993,1.3157894736842104,2.0,-1.3870112007309978,-21.990272602411142,20.603261401680147,-0.0060673516818389615,-0.09619440519876019,0.09012705351692123,nucleoside diphosphate kinase a isoform x1,nucleoside diphosphate kinase a isoform x1
XP_027252956.1,bifunctional purine biosynthesis protein PURH [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,7.038576487405794,64650.1807000002,1.5202702702702704,9.0,0.23745167552085744,-72.97804506510732,73.21549674062818,0.00042957822836387394,-0.1320259342864651,0.13245551251482898,bifunctional purine biosynthesis protein purh,bifunctional purine biosynthesis protein purh
XP_027256298.1,phosphoglucomutase-1 isoform X2 [Cricetulus griseus],True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,6.133805934034457,61338.24150000022,1.0676156583629894,6.0,-4.073066235681437,-65.97970208526354,61.906635849582095,-0.007631573853827855,-0.12362405622235267,0.11599248236852482,phosphoglucomutase-1 isoform x2,phosphoglucomutase 1 isoform x2
