accn,name,hccf_feed,hccf_large,hccf_small,hccf_mab,hccf_spf1,hccf_spf2,pavin_feed,pavin_large,pavin_small,desc_lower_2,high_risk_name,impact,impact_type,function
XP_027247933.1,matrix metalloproteinase-19 [Cricetulus griseus],182.237038259029,43.1226829762158,20.0909095647316,3.51360827242944,233.9601290004,76.4800935973762,0,28.818131109219,6.68522177293594,matrix metalloproteinase 19,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027248597.1,glutathione S-transferase alpha-3 [Cricetulus griseus],5.91104853026279,0,0,0,35.5558530046518,0.692888488100589,0,0,0,glutathione s transferase alpha 3,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027249161.1,LOW QUALITY PROTEIN: protein S100-A13 [Cricetulus griseus],14.8637785850627,0,0,1.91464047250271,12.8722159709076,2.04034578763489,0,0,0,low quality protein: protein s100 a13,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027249169.1,protein S100-A6 isoform X1 [Cricetulus griseus],23.9338706073266,196.418776731925,34.507706681424,14.7321196735643,26.4639346958275,32.4423649616184,1.54230982281872,48.8728560648852,15.9651126830233,protein s100 a6 isoform x1,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027249183.1,protein S100-A4 [Cricetulus griseus],2.01113554375609,5.95436444287533,1.22698134423859,0.361407905701101,6.57543851041183,0,0,1.92405101944344,0,protein s100 a4,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027249196.1,protein S100-A11 [Cricetulus griseus],9.17341199357199,3.76013935585522,3.17315508488674,2.48811591627959,8.78704309701721,1.38161948972326,0,1.38292197737389,0,protein s100 a11,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027250026.1,glutathione S-transferase theta-2 [Cricetulus griseus],0.815942621783631,0,0,0,8.20939942090808,0.252242843971361,0,0,0,glutathione s transferase theta 2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251264.1,glutathione S-transferase Mu 3 [Cricetulus griseus],22.7422892875175,93.1756347623636,58.4606505779449,7.92511829694767,284.865860969607,18.9562919165035,1.08511361907287,74.9772972318764,14.0624876697437,glutathione s transferase mu 3,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251265.1,glutathione S-transferase Mu 6 [Cricetulus griseus],22.4451737135027,56.1378719051828,5.16807526927318,3.66107757993504,282.703745697734,5.83288046857036,0.0745232268212642,15.0035709779949,0.871302164740873,glutathione s transferase mu 6,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251267.1,glutathione S-transferase Mu 7 isoform X1 [Cricetulus griseus],16.601788093555,1.67444596786664,0.514002175148524,4.1656063264347,44.934235707438,1.90300857277308,0,0.476776527684978,0,glutathione s transferase mu 7 isoform x1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251270.1,glutathione S-transferase isoform X1 [Cricetulus griseus],0.662350948434043,0,0,0,6.70404980947133,0,0,0,0,glutathione s transferase isoform x1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251272.1,glutathione S-transferase Mu 1 isoform X2 [Cricetulus griseus],18.3706160375594,13.604073048032,3.73602065428542,3.02840795762352,14.3343174756505,1.12547349111564,0,4.92822201140881,0.796674356742117,glutathione s transferase mu 1 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251276.1,glutathione S-transferase Y1 isoform X2 [Cricetulus griseus],149.806857305714,34.8053686666203,3.6784279177456,13.6785254869939,267.9592891728,11.9074819329488,0,1.97728240452906,0,glutathione s transferase y1 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],364.327840099005,473.042590139995,132.141568131018,45.2531407387301,1695.78306027038,17.1203486733663,4.84435885060454,261.499011824035,73.7231408335055,alpha enolase isoform x2,alpha enolase,Drug quality,Modification of drug,Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruvate
XP_027260201.1,serine protease HTRA1 isoform X3 [Cricetulus griseus],144.24617484678,3687.2237552465,1103.6054114489,21.7215736111592,271.137825610715,28.1525163465508,105.553480677436,1896.170218217,521.90594097962,serine protease htra1 isoform x3,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027262178.1,lysosomal acid lipase/cholesteryl ester hydrolase [Cricetulus griseus],50.9693867031533,1196.33279578793,228.64638526393,3.30379418173783,18.9383460145703,3.81443550804186,5.73874782196861,513.985269090902,66.9860713388957,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase,Formulation,Degradation of polysorbates,Hydrolyzes cholesteryl esters and triglycerides
XP_027262854.1,glutathione S-transferase omega-1 isoform X4 [Cricetulus griseus],19.9965322935126,0,0,2.62839937817261,42.1934727884665,0.409417390416289,0,0,0,glutathione s transferase omega 1 isoform x4,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027264258.1,"peroxiredoxin-5, mitochondrial [Cricetulus griseus]",1.60779220042471,3.81756023538458,0.480243217998122,0,2.34079030703786,0.292190827312207,0,0.751122980846371,0,peroxiredoxin 5 mitochondrial,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027264538.1,glutathione S-transferase P 2 isoform X2 [Cricetulus griseus],25.2755394718008,0,0,0,89.7895373106125,6.09235518261031,0,11.6731464442308,0,glutathione s transferase p 2 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027264700.1,cathepsin D [Cricetulus griseus],38.1515520453097,20.2769104653236,21.2694179518057,22.5288653156708,53.2679355324295,75.2873002477702,0,16.0594063350714,1.36106892628455,cathepsin d,cathepsin d,Drug quality,Fragmentation of drug,Aspartyl protease with activity in both acidic and neutral pH
XP_027265420.1,cathepsin L1 [Cricetulus griseus],126.533126970846,16.9177729011085,6.29940371876108,50.1321541289378,295.902788887394,9.10194945312624,0,8.32025939518885,2.23329750961333,cathepsin l1,cathepsin l,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
XP_027266901.1,glutathione S-transferase A4 [Cricetulus griseus],7.96173312059174,0,0,2.57200017914635,14.7563470009959,6.37075075041055,0,0.595001712054449,0,glutathione s transferase a4,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027267631.1,sialate O-acetylesterase isoform X2 [Cricetulus griseus],2.28357999069574,0,0,1.3567637746855,0.529222263299072,1.35452118452928,0,0,0,sialate o acetylesterase isoform x2,sialate o acetylesterase,Formulation,Degradation of polysorbates,Hydrolyzes carboxylic acid ester bonds
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],93.811170675092,931.036758248175,269.281184546385,133.337841178747,26.5463592813575,3.82729102330622,8.87750845879033,260.866757476669,84.5015465328842,putative phospholipase b like 2,phospholipase b like 2,Immunogenicity,Immunogenic response,Potentially catalyzes the hydrolysis of phospholipids into fatty acids
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],62.357031735858,276.982455247232,112.739922427784,16.7004192844313,17.3838660022633,0.926997433145431,0.389732583265853,99.7020901774855,35.9832931100049,pyruvate kinase pkm isoform x2,pyruvate kinase,Immunogenicity,Immunogenic response,Catalyzes the conversion of phosphoenolpyruvate to pyruvate and plays a role in regulating cell metabolism
XP_027273039.1,peroxiredoxin-6 isoform X2 [Cricetulus griseus],19.2615794792143,60.0399324523565,15.8834413340236,105.47963063201,51.3284790969057,3.08870264229184,160.885459064413,27.0220768212338,80.9721217888438,peroxiredoxin 6 isoform x2,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027275654.1,cathepsin Z [Cricetulus griseus],118.01630325184,73.9887722682354,28.7977933622343,125.203199468314,52.2889705822285,34.4310914781591,0.712433347707946,36.442833807517,6.98605394865467,cathepsin z,cathepsin z,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
XP_027280477.1,protein disulfide-isomerase A6 isoform X2 [Cricetulus griseus],12.257338243966,6.67488095749055,3.48601425117786,15.9961753036669,19.9104331751073,1.72009585470982,0,6.58908286694591,1.44791703183806,protein disulfide isomerase a6 isoform x2,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027280693.1,brain-specific serine protease 4 isoform X1 [Cricetulus griseus],45.319170109942,34.5809427268042,13.1432825157762,15.1168030154066,116.531760766309,12.1781591267166,0,17.2182462660136,1.6615381074724,brain specific serine protease 4 isoform x1,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027282494.1,LOW QUALITY PROTEIN: carboxypeptidase D isoform X2 [Cricetulus griseus],40.8601632758585,113.02303538585,655.309235737082,8.97456867846086,9.20922233062493,0,0.906359872702184,61.9041173273665,14.7468973821898,low quality protein: carboxypeptidase d isoform x2,carboxypeptidase d,Drug quality,Modification of drug,Serine exopeptidase that release C-terminal amino acids
XP_027288513.1,peroxiredoxin-4 isoform X5 [Cricetulus griseus],220.526505141641,446.654276774382,272.288538206508,126.164700561553,145.012012981124,13.8006934487324,0,358.112951911963,162.95658282901,peroxiredoxin 4 isoform x5,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
NP_001233698.1,matrix metalloproteinase-14 precursor [Cricetulus griseus],0,8.9020636325405,0,0,0,1.13672647295759,0,11.0138049017307,0,matrix metalloproteinase 14 precursor,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027245568.1,glutathione S-transferase kappa 1 isoform X1 [Cricetulus griseus],0,0.242904718941907,0,0,0.298860282280613,0,0,0,0,glutathione s transferase kappa 1 isoform x1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027249198.1,protein S100-A10 [Cricetulus griseus],0,3.64528896171092,0,0,0,0,0,4.16511624010493,0.144575725186442,protein s100 a10,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027259446.1,protein disulfide-isomerase TMX3 isoform X5 [Cricetulus griseus],0,10.5196493273713,3.41146982340565,0,0,0,0,13.1856067992689,3.92577290124137,protein disulfide isomerase tmx3 isoform x5,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027270673.1,pyruvate kinase PKM isoform X1 [Cricetulus griseus],0,46.0417628347092,13.5669239982408,0,0,0,0,11.9864508234456,2.50768269434291,pyruvate kinase pkm isoform x1,pyruvate kinase,Immunogenicity,Immunogenic response,Catalyzes the conversion of phosphoenolpyruvate to pyruvate and plays a role in regulating cell metabolism
XP_027284320.1,protein disulfide-isomerase A4 [Cricetulus griseus],0,12.2708291433352,0,0,0.934865405692234,0,0,16.2591532833414,0.680296671545633,protein disulfide isomerase a4,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027279237.1,matrix metalloproteinase-9 [Cricetulus griseus],0,0,19.6738047733992,0,0,0,0,0,0,matrix metalloproteinase 9,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027285235.1,"serine protease HTRA2, mitochondrial [Cricetulus griseus]",0,0,1.8208164928958,0,0,0,0,0,0,serine protease htra2 mitochondrial,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027248601.1,glutathione S-transferase A6 isoform X2 [Cricetulus griseus],0,0,0,0,2.07890275324567,0,0,0,0,glutathione s transferase a6 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
