accession_0,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,accession_1,accession_2,desc_lower,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS
XP_027288075.1,ubiquitin-like modifier-activating enzyme 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,5.142723140384453,117696.3872000006,1.984877126654064,21.0,-20.388956207266126,-129.95693310679005,109.56797689952391,-0.024740003570475,-0.157690023774938,0.1329500202044631,,,ubiquitin-like modifier-activating enzyme 1,ubiquitin like modifier activating enzyme 1,,,,,,ubiquitin,,ubiquitin
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,9.134350313739567,35747.51060000005,1.2012012012012012,4.0,4.130416251623557,-34.992495508761195,39.122911760384746,0.011092007076445,-0.0939704340096679,0.1050624410861129,,,glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase,,,,glyceraldehyde 3 phosphate dehydrogenase,,,
XP_027267107.1,peptidyl-prolyl cis-trans isomerase B [Cricetulus griseus],True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,10.169491438457692,23634.146,0.4629629629629629,1.0,10.869761649183047,-24.991536117068037,35.86129776625108,0.0384627440186135,-0.0884327630472897,0.1268955070659032,,,peptidyl-prolyl cis-trans isomerase b,peptidyl prolyl cis trans isomerase b,,,,peptidyl prolyl cis trans isomerase,,peptidyl prolyl cis trans isomerase,,
XP_027279241.1,phospholipid transfer protein isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,6.665240540746193,54373.6167000001,0.8113590263691683,4.0,-1.3339968549067789,-46.98285331344386,45.64885645853708,-0.0027085873404973,-0.0953953986001951,0.0926868112596977,,,phospholipid transfer protein isoform x1,phospholipid transfer protein isoform x1,phospholipid transfer protein,,,,,,,
XP_027260430.1,fructose-bisphosphate aldolase A isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,9.071925722194669,39381.49810000004,2.197802197802198,8.0,4.921310030380959,-38.98748160640843,43.90879163678939,0.0123898511715791,-0.0981545750371442,0.1105444262087233,,,fructose-bisphosphate aldolase a isoform x2,fructose bisphosphate aldolase a isoform x2,fructose bisphosphate aldolase,,,,,,,
XP_027252619.1,collagen alpha-1(III) chain isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,6.562470477857223,139095.66190000082,1.5006821282401093,22.0,-4.41806437479881,-129.93633161717713,125.51826724237831,-0.0047958968696202,-0.1410484758002498,0.1362525789306295,,,collagen alpha-1(iii) chain isoform x3,collagen alpha 1(iii) chain isoform x3,,,,,,collagen alpha ,,
XP_027270812.1,chondroitin sulfate proteoglycan 4 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,5.337352853939736,252066.2392000002,0.5165733964700818,12.0,-60.39161840897032,-252.89089901213077,192.49928060316043,-0.0441042458048686,-0.1846872573659747,0.140583011561106,,,chondroitin sulfate proteoglycan 4,chondroitin sulfate proteoglycan 4,chondroitin sulfate proteoglycan 4,,,,chondroitin sulfate proteoglycan 4,,chondroitin sulfate proteoglycan 4,
XP_027262348.1,annexin A1 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,7.053899845066322,38861.05930000003,1.4450867052023122,5.0,0.1412540226896846,-53.98051984469141,54.12177386738109,0.0003587880098074,-0.137111587441265,0.1374703754510724,,,annexin a1,annexin a1,,,,,,annexin a1,,
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,8.864993695030368,44562.02910000004,1.6786570743405276,7.0,3.143021759505154,-50.97628237161685,54.119304131122,0.0072870363398263,-0.1181875438780628,0.1254745802178892,,,phosphoglycerate kinase 1,phosphoglycerate kinase 1,phosphoglycerate kinase,,,phosphoglycerate kinase 1,,phosphoglycerate kinase 1,,
XP_027245386.1,transketolase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,8.268214782845508,67715.8548000003,2.086677367576244,13.0,5.02142366492731,-70.97775018927234,75.99917385419965,0.0088080575011915,-0.1245017641787395,0.1333098216799311,,,transketolase,transketolase,transketolase,,,,,,,
XP_027260201.1,serine protease HTRA1 isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,False,False,9.184247173025677,50200.21100000005,3.411513859275053,16.0,4.408823544261046,-55.97502826480553,60.38385180906658,0.0094413161763008,-0.1198682447868267,0.1293095609631276,,,serine protease htra1 isoform x3,serine protease htra1 isoform x3,serine protease,serine protease,,serine protease htra1,,serine protease htra1,,
XP_027247220.1,aldose reductase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,7.620886452371347,35790.93830000004,2.2151898734177213,7.0,1.656444958368902,-37.99024873693501,39.64669369530391,0.0044446933797504,-0.1019381937220526,0.106382887101803,,,aldose reductase,aldose reductase,,,,aldose reductase related protein 2,,,,
XP_027255561.1,basement membrane-specific heparan sulfate proteoglycan core protein isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,6.635424336530111,469255.6639000086,4.286365709074327,188.0,-33.016723530139664,-406.8581924150714,373.84146888493177,-0.0159333762077398,-0.1963436692024456,0.1804102929947057,,,basement membrane-specific heparan sulfate proteoglycan core protein isoform x2,basement membrane specific heparan sulfate proteoglycan core protein isoform x2,,,,,basement membrane specific heparan sulfate proteoglycan core protein,,,
XP_027272044.1,procollagen C-endopeptidase enhancer 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,9.051806194062667,50445.91030000001,2.564102564102564,12.0,3.610932056938596,-44.98859171677879,48.59952377371739,0.0077075353902109,-0.096028160415404,0.1037356958056149,,,procollagen c-endopeptidase enhancer 1,procollagen c endopeptidase enhancer 1,procollagen c endopeptidase enhancer,,,,procollagen c endopeptidase enhancer 1,procollagen c endopeptidase enhancer 1,,
XP_027267055.1,annexin A2 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,8.134732215616737,38660.704600000005,1.4749262536873156,5.0,1.8691781075037848,-52.99020084526592,54.859378952769696,0.0047641383194709,-0.1350607763861164,0.1398249147055874,,,annexin a2 isoform x2,annexin a2 isoform x2,annexin a2,,,,,annexin a2,,
XP_027286887.1,suprabasin isoform X1 [Cricetulus griseus],True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,7.609648897632362,61064.2737000001,0.3407155025553662,2.0,8.372285286768797,-58.96024262832506,67.33252791509386,0.0157337679550998,-0.1108020981507284,0.1265358661058283,,,suprabasin isoform x1,suprabasin isoform x1,,,,,,suprabasin,,
XP_027251267.1,glutathione S-transferase Mu 7 isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,6.788612819605017,25824.473900000008,1.376146788990826,3.0,-0.3907450639064501,-32.99265159865704,32.60190653475058,-0.0013033249170345,-0.1100465466605711,0.1087432217435366,,,glutathione s-transferase mu 7 isoform x1,glutathione s transferase mu 7 isoform x1,,glutathione s transferase,,,,glutathione s transferase,,
XP_027243210.1,heat shock protein HSP 90-beta isoform X11 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.441274090406351,83266.2108000003,0.8287292817679558,6.0,-36.71995322764011,-147.9254380006578,111.2054847730177,-0.0561181188456668,-0.2260704761401936,0.1699523572945267,,,heat shock protein hsp 90-beta isoform x11,heat shock protein hsp 90 beta isoform x11,heat shock protein hsp 90 beta,,heat shock protein,,,,,
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,8.67637998866931,52944.50670000003,2.109704641350211,10.0,5.75402296027107,-54.985385713976285,60.73940867424735,0.0118924455758536,-0.1136440906798153,0.125536536255669,,,lipoprotein lipase isoform x2,lipoprotein lipase isoform x2,lipoprotein lipase,lipoprotein lipase,lipoprotein lipase,,lipoprotein lipase,lipoprotein lipase,,
XP_027253977.1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform X3 [Cricetulus griseus]",True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,False,6.618921242228364,83787.40980000034,1.3755158184319118,10.0,-5.357799398602088,-95.977244770353,90.6194453717509,-0.0081541893511622,-0.1460705355009186,0.1379163461497563,,,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform x3",procollagen lysine2 oxoglutarate 5 dioxygenase 1 isoform x3,,,,,procollagen lysine2 oxoglutarate 5 dioxygenase 1,,,
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,9.049789503598165,22262.3456,2.512562814070352,5.0,2.6065143814684184,-23.995205179056267,26.601719560524685,0.0095982715231779,-0.0883603390798092,0.0979586106029872,,,peroxiredoxin-1,peroxiredoxin 1,peroxiredoxin 1,peroxiredoxin,,peroxiredoxin 1,,peroxiredoxin 1,peroxiredoxin 1,peroxiredoxin 1
XP_027278839.1,collagen alpha-1(V) chain isoform X5 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4.277683187974964,182849.61729999923,0.7115489874110563,13.0,-59.44578309608961,-228.9071454225968,169.4613623265072,-0.0537739412378436,-0.2070666537772796,0.153292712539436,,,collagen alpha-1(v) chain isoform x5,collagen alpha 1(v) chain isoform x5,,,,,,collagen alpha ,,
XP_027263120.1,phosphoglycerate mutase 1 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,7.206178733029857,28817.60960000001,0.7874015748031495,2.0,0.6642727198504902,-36.984663737886606,37.64893645773709,0.0020594660379046,-0.1146647402721055,0.1167242063100101,,,phosphoglycerate mutase 1 isoform x2,phosphoglycerate mutase 1 isoform x2,phosphoglycerate mutase 1,,,,,,,
XP_027254565.1,"fatty acid-binding protein, adipocyte [Cricetulus griseus]",True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,8.42833994993517,14752.743999999988,1.5151515151515151,2.0,0.8261066960910212,-20.990720882532653,21.816827578623677,0.0040022215345261,-0.1016932988666192,0.1056955204011454,,,"fatty acid-binding protein, adipocyte",fatty acid binding protein adipocyte,,,,,,fatty acid binding protein adipocyte,,
NP_001230979.1,L-lactate dehydrogenase A chain [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,7.587378229440726,36518.98080000003,1.5060240963855422,5.0,1.3987195355818391,-37.98633016588839,39.38504970147023,0.0037030967697406,-0.1005684506101429,0.1042715473798836,,,l-lactate dehydrogenase a chain,l lactate dehydrogenase a chain,l lactate dehydrogenase a chain,,,,,,,
XP_027252620.1,collagen alpha-2(V) chain isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,6.563597924371743,145084.79200000042,1.2016021361815754,18.0,-4.409992822964181,-142.92862401389428,138.5186311909301,-0.0046544689907722,-0.1508521385572825,0.1461976695665102,,,collagen alpha-2(v) chain isoform x2,collagen alpha 2(v) chain isoform x2,,,,,,collagen alpha ,,
XP_027274961.1,legumain [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,6.586395008880332,49634.935600000055,1.82648401826484,8.0,-5.158090381602782,-52.99574047753772,47.837650095934926,-0.0111295471094355,-0.1143482464649839,0.1032186993555483,,,legumain,legumain,legumain,,,,legumain,,,
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,6.194392494636227,65540.10060000015,1.1965811965811968,7.0,-3.3472050183194995,-53.99576450373068,50.64855948541117,-0.0060005505369917,-0.0967984667550518,0.09079791621806,,,putative phospholipase b-like 2,putative phospholipase b like 2,phospholipase b like 2,phospholipase b like 2,,,,phospholipase b like,,putative phospholipase b like 2
XP_027247784.1,annexin A5 [Cricetulus griseus],True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,4.372944578198831,36064.4781,0.3115264797507788,1.0,-12.380444659754662,-54.980769353749785,42.60032469399512,-0.0330519176171594,-0.1467814694180937,0.1137295518009342,,,annexin a5,annexin a5,annexin a5,annexin a5,,,,,,
XP_027265420.1,cathepsin L1 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,7.307110239803513,37247.795200000015,3.303303303303303,11.0,1.1789520481815077,-35.99155358174156,37.17050562992307,0.0030804153605138,-0.0940402407994166,0.0971206561599305,,,cathepsin l1,cathepsin l1,cathepsin l,cathepsin l,,,,cathepsin l1,,
XP_027284060.1,triosephosphate isomerase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,6.54048265789874,26676.24440000001,2.8112449799196786,7.0,-1.123075701858912,-30.98566833563954,29.86259263378063,-0.0036658336970956,-0.1011403834343533,0.0974745497372577,,,triosephosphate isomerase isoform x2,triosephosphate isomerase isoform x2,triosephosphate isomerase,,,,,,,
XP_027255640.1,F-actin-capping protein subunit beta isoform X16 [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,6.384080051141221,33810.923200000005,2.3255813953488373,7.0,-1.8654171651609743,-43.98928682034936,42.12386965518838,-0.0051989798648247,-0.1225996097378363,0.1174006298730116,,,f-actin-capping protein subunit beta isoform x16,f actin capping protein subunit beta isoform x16,,,actin,,actin,,,
XP_027282087.1,retinoid-inducible serine carboxypeptidase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.060955398717251,51253.204000000034,1.3186813186813189,6.0,-8.079751735902756,-50.98805942534033,42.90830768943757,-0.0170646554123301,-0.1076881682354849,0.0906235128231547,,,retinoid-inducible serine carboxypeptidase,retinoid inducible serine carboxypeptidase,,,,,,carboxypeptidase,,
XP_027273039.1,peroxiredoxin-6 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,6.787018748500406,25004.578600000004,0.4464285714285714,1.0,-0.3884780002735384,-31.9896536140464,31.601175613772863,-0.0013239357896397,-0.1090209671795894,0.1076970313899497,,,peroxiredoxin-6 isoform x2,peroxiredoxin 6 isoform x2,,peroxiredoxin,,,,,,
XP_027250075.1,collagen alpha-1(VI) chain [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,4.783422034658076,109745.81030000064,1.932367149758454,20.0,-21.47627862441578,-141.9482568646853,120.47197824026954,-0.0273032230045085,-0.1804616609821614,0.1531584379776529,,,collagen alpha-1(vi) chain,collagen alpha 1(vi) chain,,,,,,collagen alpha ,,
XP_027282494.1,LOW QUALITY PROTEIN: carboxypeptidase D isoform X2 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,6.337340427972761,152461.9512000004,1.3062409288824384,18.0,-18.792873227877877,-162.95245450291873,144.15958127504086,-0.0191895911271336,-0.1663923838125609,0.1472027926854273,,,low quality protein: carboxypeptidase d isoform x2,low quality protein: carboxypeptidase d isoform x2,carboxypeptidase d,carboxypeptidase d,,,,carboxypeptidase,,
XP_027266875.1,collagen alpha-1(XII) chain isoform X4 [Cricetulus griseus],True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,5.23135953832408,333212.23690000514,0.6851549755301795,21.0,-35.215185167734795,-363.89850238853086,328.683317220796,-0.0213515562296202,-0.220637753248057,0.1992861970184367,,,collagen alpha-1(xii) chain isoform x4,collagen alpha 1(xii) chain isoform x4,,,,,,collagen alpha ,,
XP_027279240.1,lysosomal protective protein [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,5.773225026146813,56109.9962,2.028397565922921,10.0,-6.56781565101127,-54.00085317027164,47.43303751926037,-0.0130589316148824,-0.1073710783260649,0.0943121467111824,,,lysosomal protective protein,lysosomal protective protein,lysosomal protective protein,,lysosomal protective protein,,,,,
XP_027251265.1,glutathione S-transferase Mu 6 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.940850547209635,25559.05310000001,1.376146788990826,3.0,-0.1323091664301833,-31.99586969491444,31.86356052848426,-0.0004443654446461,-0.1074593639082717,0.1070149984636255,,,glutathione s-transferase mu 6,glutathione s transferase mu 6,,glutathione s transferase,,,,glutathione s transferase mu 6,,
XP_027243958.1,peptidyl-prolyl cis-trans isomerase A isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,9.332498553477484,17899.075799999988,1.829268292682927,3.0,2.874222415290239,-18.99042600669767,21.86464842198791,0.0122409038529399,-0.0808775193032103,0.0931184231561503,,,peptidyl-prolyl cis-trans isomerase a isoform x2,peptidyl prolyl cis trans isomerase a isoform x2,peptidyl prolyl cis trans isomerase a,peptidyl prolyl cis trans isomerase a,,peptidyl prolyl cis trans isomerase,,peptidyl prolyl cis trans isomerase,,
XP_027249274.1,semaphorin-3C isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,9.813053111129324,86157.06690000044,3.0303030303030303,23.0,23.11142612997349,-79.9826254664028,103.09405159637627,0.0345260048886437,-0.1194855091299702,0.1540115140186139,,,semaphorin-3c isoform x2,semaphorin 3c isoform x2,,,,,semaphorin 3c,,,
XP_027288992.1,renin receptor isoform X6 [Cricetulus griseus],False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,5.7924437133125455,38067.03200000006,0.2906976744186046,1.0,-5.809917632231983,-40.98340694546597,35.173489313233986,-0.0149618105109222,-0.1055412499151923,0.09057943940427,,,renin receptor isoform x6,renin receptor isoform x6,,,renin receptor,,,,,
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,4.211218753120367,57113.857500000086,1.37524557956778,7.0,-31.52755948203114,-97.95373871529196,66.42617923326081,-0.0619502234997316,-0.1924746509321535,0.1305244274324218,,,protein disulfide-isomerase precursor,protein disulfide isomerase precursor,protein disulfide isomerase,protein disulfide isomerase,,,,,,protein disulfide isomeras
NP_001233603.1,beta-2-microglobulin precursor [Cricetulus griseus],True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,7.48480810855328,13787.816399999982,2.5210084033613445,3.0,0.8698267816939355,-14.995869534197611,15.865696315891553,0.0044084166477592,-0.0760013859005831,0.0804098025483424,,,beta-2-microglobulin precursor,beta 2 microglobulin precursor,,,,,,beta 2 microglobulin,,
XP_027265239.1,nidogen-1 isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.61669446695903,136708.0636000004,3.932584269662921,49.0,-45.67595780920416,-146.96477040960008,101.28881260039594,-0.0501577940818653,-0.1613853117713476,0.1112275176894823,,,nidogen-1 isoform x3,nidogen 1 isoform x3,nidogen 1,,nidogen 1,,nidogen 1,,,
XP_027275654.1,cathepsin Z [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,8.272813650120062,34027.923899999994,3.92156862745098,12.0,2.91244908686505,-29.000167153112997,31.91261623997805,0.008082546771054,-0.080480448032732,0.088562994803786,,,cathepsin z,cathepsin z,cathepsin z,cathepsin z,,,,,,
