accession,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,desc_lower,desc_lower_2,high_risk_name,impact,impact_type,function
XP_027265420.1,cathepsin L1 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7.30711023980351,37247.7952,3.3033033033033,11,1.17895204818151,-35.9915535817416,37.1705056299231,0.0030804153605138,-0.0940402407994166,0.0971206561599305,cathepsin l1,cathepsin l1,cathepsin l,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
XP_027273039.1,peroxiredoxin-6 isoform X2 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,6.78701874850041,25004.5786,0.446428571428571,1,-0.388478000273538,-31.9896536140464,31.6011756137729,-0.0013239357896397,-0.109020967179589,0.10769703138995,peroxiredoxin-6 isoform x2,peroxiredoxin 6 isoform x2,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027282494.1,LOW QUALITY PROTEIN: carboxypeptidase D isoform X2 [Cricetulus griseus],TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.33734042797276,152461.9512,1.30624092888244,18,-18.7928732278779,-162.952454502919,144.159581275041,-0.0191895911271336,-0.166392383812561,0.147202792685427,low quality protein: carboxypeptidase d isoform x2,low quality protein: carboxypeptidase d isoform x2,carboxypeptidase d,Drug quality,Modification of drug,Serine exopeptidase that release C-terminal amino acids
XP_027251265.1,glutathione S-transferase Mu 6 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.94085054720964,25559.0531,1.37614678899083,3,-0.132309166430183,-31.9958696949144,31.8635605284843,-0.0004443654446461,-0.107459363908272,0.107014998463626,glutathione s-transferase mu 6,glutathione s transferase mu 6,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027243958.1,peptidyl-prolyl cis-trans isomerase A isoform X2 [Cricetulus griseus],TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9.33249855347748,17899.0758,1.82926829268293,3,2.87422241529024,-18.9904260066977,21.8646484219879,0.0122409038529399,-0.0808775193032103,0.0931184231561503,peptidyl-prolyl cis-trans isomerase a isoform x2,peptidyl prolyl cis trans isomerase a isoform x2,peptidyl prolyl cis trans isomerase a,Drug quality,Aggregation of drugs,Catalyzes the cis–trans isomerization of peptide bonds N-terminal to proline residues
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4.21121875312037,57113.8575000001,1.37524557956778,7,-31.5275594820311,-97.953738715292,66.4261792332608,-0.0619502234997316,-0.192474650932153,0.130524427432422,protein disulfide-isomerase precursor,protein disulfide isomerase precursor,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027275654.1,cathepsin Z [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,8.27281365012006,34027.9239,3.92156862745098,12,2.91244908686505,-29.000167153113,31.912616239978,0.008082546771054,-0.080480448032732,0.088562994803786,cathepsin z,cathepsin z,cathepsin z,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
NP_001233673.1,glutathione S-transferase P 1 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8.28584772788397,23637.941,1.90476190476191,4,1.86612694461145,-24.9982245042505,26.864351448862,0.0066025992812688,-0.0884469621004949,0.0950495613817638,glutathione s-transferase p 1,glutathione s transferase p 1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027251264.1,glutathione S-transferase Mu 3 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,6.78837726820455,26966.9748,3.9647577092511,9,-0.39033722987346,-32.9915028437463,32.6011656138729,-0.001264926649512,-0.106912249103257,0.105647322453745,glutathione s-transferase mu 3,glutathione s transferase mu 3,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027280477.1,protein disulfide-isomerase A6 isoform X2 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4.49389289189425,48689.4898,1.57303370786517,7,-12.8535273406214,-65.9753112079025,53.1217838672811,-0.0280917651745596,-0.144190999144153,0.116099233969594,protein disulfide-isomerase a6 isoform x2,protein disulfide isomerase a6 isoform x2,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027251276.1,glutathione S-transferase Y1 isoform X2 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.27252312566125,21905.1622,1.6304347826087,3,3.34588542342922,-26.99365619641,30.3395416198392,0.0124545183131011,-0.100479527207234,0.112934045520335,glutathione s-transferase y1 isoform x2,glutathione s transferase y1 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027247933.1,matrix metalloproteinase-19 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8.24825815007863,58941.2566000001,0.761904761904762,4,4.48648493208417,-54.9932655372368,59.479750469321,0.0086325706101596,-0.105814073828378,0.114446644438537,matrix metalloproteinase-19,matrix metalloproteinase 19,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027251272.1,glutathione S-transferase Mu 1 isoform X2 [Cricetulus griseus],TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.66335780041041,25466.0888,1.8348623853211,4,-2.39182725759173,-30.9935268183164,28.6016995607247,-0.0080525821551192,-0.10434613126396,0.0962935491088407,glutathione s-transferase mu 1 isoform x2,glutathione s transferase mu 1 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027248597.1,glutathione S-transferase alpha-3 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.84758413034166,25501.2393,0.452488687782805,1,2.87107277215529,-32.9919538094772,35.8630265816324,0.0096571770960185,-0.110972157784286,0.120629334880305,glutathione s-transferase alpha-3,glutathione s transferase alpha 3,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5.02685300431704,21812.4509,1.51515151515152,3,-4.86664435047116,-26.9934307135446,22.1267863630734,-0.0181665929251899,-0.100763201933958,0.0825966090087684,peroxiredoxin-2,peroxiredoxin 2,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027262178.1,lysosomal acid lipase/cholesteryl ester hydrolase [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,7.9057393204702,45634.7643,1.25944584382872,5,4.79325730394187,-35.9971358951806,40.7903931991225,0.0109382300832394,-0.0821455911484899,0.0930838212317293,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase,Formulation,Degradation of polysorbates,Hydrolyzes cholesteryl esters and triglycerides
XP_027262856.1,glutathione S-transferase omega-1 isoform X6 [Cricetulus griseus],TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.90862508149097,27458.4241,2.08333333333333,5,2.61304470871201,-33.987586958309,36.600631667021,0.0083664898346211,-0.108822018942859,0.11718850877748,glutathione s-transferase omega-1 isoform x6,glutathione s transferase omega 1 isoform x6,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027264700.1,cathepsin D [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7.04857771997586,44110.3901,1.96078431372549,8,0.127111900317447,-37.9955628863414,38.1226747866588,0.0002967147471807,-0.0886922767078163,0.0889889914549971,cathepsin d,cathepsin d,cathepsin d,Drug quality,Fragmentation of drug,Aspartyl protease with activity in both acidic and neutral pH
XP_027249161.1,LOW QUALITY PROTEIN: protein S100-A13 [Cricetulus griseus],TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.18455640017299,18553.0626,1.20481927710843,2,-2.64322928160911,-24.9843327424038,22.3411034607947,-0.0109910187741149,-0.103889311510398,0.0928982927362833,low quality protein: protein s100-a13,low quality protein: protein s100 a13,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027266901.1,glutathione S-transferase A4 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.79079680815031,25757.6517,0,0,-0.387299099528012,-32.9887116870268,32.6014125874988,-0.0012940642195767,-0.110223626897501,0.108929562677924,glutathione s-transferase a4,glutathione s transferase a4,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027246161.1,cathepsin B [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.09970783016076,37503.7655,4.71976401179941,16,-6.0333655223042,-37.992320763891,31.9589552415868,-0.0156924194141005,-0.0988157322373412,0.0831233128232407,cathepsin b,cathepsin b,cathepsin b,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
XP_027249198.1,protein S100-A10 [Cricetulus griseus],FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.78256765606357,11247.0589,2.06185567010309,2,-0.390960947808387,-15.9945193226144,15.6035583748061,-0.0022696257604518,-0.0928521717684269,0.090582546007975,protein s100-a10,protein s100 a10,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027251270.1,glutathione S-transferase isoform X1 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.25075171411349,25694.3489,1.8348623853211,4,1.86879794774319,-31.9942486336893,33.8630465814324,0.006254377969971,-0.107076382474613,0.113330760444584,glutathione s-transferase isoform x1,glutathione s transferase isoform x1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027250026.1,glutathione S-transferase theta-2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.26443862499561,27776.0629,2.04918032786885,5,0.924492963837585,-28.9881432759404,29.912636239778,0.0029374467676185,-0.0921057607747626,0.0950432075423811,glutathione s-transferase theta-2,glutathione s transferase theta 2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027264258.1,"peroxiredoxin-5, mitochondrial [Cricetulus griseus]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.2228005491913,22559.7578,1.40845070422535,3,6.35366750943352,-22.9863780575575,29.340045566991,0.0231907635873978,-0.0838998355629868,0.107090599150385,"peroxiredoxin-5, mitochondrial",peroxiredoxin 5 mitochondrial,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027249196.1,protein S100-A11 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.10685448431178,11240.8098,3,3,0.086485265052734,-13.9933011747342,14.0797864397869,0.0005022545819052,-0.0812647059207635,0.0817669605026687,protein s100-a11,protein s100 a11,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027249169.1,protein S100-A6 isoform X1 [Cricetulus griseus],TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4.88065224876072,10050.4993,1.12359550561798,1,-2.6523596091535,-15.9940470163,13.3416874071465,-0.0165966652130581,-0.100079884648885,0.0834832194358265,protein s100-a6 isoform x1,protein s100 a6 isoform x1,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
XP_027260200.1,serine protease HTRA1 isoform X2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9.15727515861746,51272.382,3.33333333333333,16,4.40790027221575,-55.9759515368508,60.3838518090666,0.0093072836597997,-0.118193250052544,0.127500533712344,serine protease htra1 isoform x2,serine protease htra1 isoform x2,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027284320.1,protein disulfide-isomerase A4 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4.49741146319617,72585.2101000004,0.934579439252336,6,-24.2772122509955,-113.961347849627,89.6841355986317,-0.0406580840526382,-0.190855935669965,0.150197851617327,protein disulfide-isomerase a4,protein disulfide isomerase a4,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027270673.1,pyruvate kinase PKM isoform X1 [Cricetulus griseus],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7.22320916115188,57977.2527000001,1.69491525423729,9,1.24600691718166,-67.9700237702984,69.21603068748,0.0024239791773085,-0.132228738081995,0.134652717259303,pyruvate kinase pkm isoform x1,pyruvate kinase pkm isoform x1,pyruvate kinase,Immunogenicity,Immunogenic response,Catalyzes the conversion of phosphoenolpyruvate to pyruvate and plays a role in regulating cell metabolism
XP_027269631.1,matrix metalloproteinase-17 isoform X2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.55053124346289,65342.7589000003,1.0221465076661,6,-4.934173343142,-69.9876993538796,65.0535260107375,-0.0088633168996113,-0.12571977417663,0.116856457277019,matrix metalloproteinase-17 isoform x2,matrix metalloproteinase 17 isoform x2,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
NP_001233698.1,matrix metalloproteinase-14 precursor [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8.2015320817389,66067.3625000002,0.859106529209622,5,3.97163259787918,-67.9827240960671,71.9543566939463,0.0070820328972023,-0.121223672287027,0.128305705184229,matrix metalloproteinase-14 precursor,matrix metalloproteinase 14 precursor,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027259446.1,protein disulfide-isomerase TMX3 isoform X5 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4.42110395834489,52123.7541000001,1.30434782608696,6,-17.8122893823622,-70.9821410666334,53.1698516842712,-0.0371999883204245,-0.14824230406071,0.111042315740285,protein disulfide-isomerase tmx3 isoform x5,protein disulfide isomerase tmx3 isoform x5,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027288513.1,peroxiredoxin-4 isoform X5 [Cricetulus griseus],TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6.9072557801871,31135.2089,1.45985401459854,4,-0.339805516954372,-35.9895028953692,35.6496973784148,-0.0010005591223506,-0.105971279553014,0.104970720430664,peroxiredoxin-4 isoform x5,peroxiredoxin 4 isoform x5,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027279237.1,matrix metalloproteinase-9 [Cricetulus griseus],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.67536941491878,78892.8044000004,2.53521126760563,18,-10.2483124739515,-81.9903278591838,71.7420153852324,-0.0162358220302646,-0.129892640833139,0.113656818802874,matrix metalloproteinase-9,matrix metalloproteinase 9,matrix metalloproteinase,Drug quality,Degradation of drug,Endopeptidases responsible for the degradation of extracellular matrix proteins
XP_027249183.1,protein S100-A4 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.72535393119145,11848.4871,3.96039603960396,4,-2.91118754005556,-19.9904500328906,17.0792624928351,-0.0163233178236568,-0.112088439798206,0.0957651219745492,protein s100-a4,protein s100 a4,protein s100,Immunogenicity,Immunogenic response,"Regulates calcium balance, cell apoptosis, migration, proliferation, differentiation, energy metabolism, and inflammation"
